timestamp_ts,saddr,sport,daddr,dport,ipid,ttl,data
1527469205,185.42.222.140,11211,216.98.153.227,11211,55981,58,0001000000010000535441542070696420370d0a5354415420757074696d652031313739313834330d0a535441542074696d6520313532373436393230340d0a535441542076657273696f6e20312e342e32300d0a53544154206c69626576656e7420322e302e32312d737461626c650d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f75736572203133343139332e3434303030300d0a53544154207275736167655f73797374656d2035393130392e3032343030300d0a5354415420637572725f636f6e6e656374696f6e732031360d0a5354415420746f74616c5f636f6e6e656374696f6e73203334383830390d0a5354415420636f6e6e656374696f6e5f73747275637475726573203533370d0a535441542072657365727665645f6664732032300d0a5354415420636d645f67657420333437393531383534340d0a5354415420636d645f73657420333038353434390d0a5354415420636d645f666c75736820313434350d0a5354415420636d645f746f75636820300d0a53544154206765745f6869747320373336303139360d0a53544154206765745f6d697373657320333437323135383334380d0a535441542064656c6574655f6d6973736573203733300d0a535441542064656c6574655f6869747320300d0a5354415420696e63725f6d697373657320300d0a5354415420696e63725f6869747320300d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420746f7563685f6869747320300d0a5354415420746f7563685f6d697373657320300d0a5354415420617574685f636d64732037363334350d0a5354415420617574685f6572726f727320300d0a535441542062797465735f726561642036343434313033363632320d0a535441542062797465735f7772697474656e20333639383430373236353131340d0a53544154206c696d69745f6d617862797465732036373130383836340d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d20300d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c6473203135353234303235350d0a5354415420686173685f706f7765725f6c6576656c2031360d0a5354415420686173685f6279746573203532343238380d0a5354415420686173685f69735f657870616e64696e6720300d0a53544154206d616c6c6f635f6661696c7320300d0a5354415420627974657320313532323431390d0a5354415420637572725f6974656d7320313434300d0a5354415420746f74616c5f6974656d7320333032303532390d0a5354415420657870697265645f756e66657463686564203136303935350d0a5354415420657669637465645f756e6665746368656420300d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d6564203338353534390d0a5354415420637261776c65725f7265636c61696d656420300d0a454e440d0a
1527469205,185.175.138.140,11211,216.98.153.246,11211,24525,58,0001000000010000535441542070696420360d0a5354415420757074696d652032333737393638380d0a535441542074696d6520313532373436393230350d0a535441542076657273696f6e20312e342e32300d0a53544154206c69626576656e7420322e302e32312d737461626c650d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f75736572203330373235392e3632343030300d0a53544154207275736167655f73797374656d2038353231312e3034303030300d0a5354415420637572725f636f6e6e656374696f6e732031350d0a5354415420746f74616c5f636f6e6e656374696f6e73203636333334390d0a5354415420636f6e6e656374696f6e5f73747275637475726573203430360d0a535441542072657365727665645f6664732032300d0a5354415420636d645f67657420333333323432333039320d0a5354415420636d645f73657420333231323530390d0a5354415420636d645f666c75736820313436340d0a5354415420636d645f746f75636820300d0a53544154206765745f6869747320383634343530300d0a53544154206765745f6d697373657320333332333737383539320d0a535441542064656c6574655f6d6973736573203734350d0a535441542064656c6574655f6869747320300d0a5354415420696e63725f6d697373657320300d0a5354415420696e63725f6869747320300d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420746f7563685f6869747320300d0a5354415420746f7563685f6d697373657320300d0a5354415420617574685f636d6473203135373930360d0a5354415420617574685f6572726f727320300d0a535441542062797465735f726561642036343235373334373233370d0a535441542062797465735f7772697474656e2031323231303539333339343434380d0a53544154206c696d69745f6d617862797465732036373130383836340d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d20300d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c6473203135393339353038350d0a5354415420686173685f706f7765725f6c6576656c2031360d0a5354415420686173685f6279746573203532343238380d0a5354415420686173685f69735f657870616e64696e6720300d0a53544154206d616c6c6f635f6661696c7320300d0a5354415420627974657320313434383833360d0a5354415420637572725f6974656d73203934370d0a5354415420746f74616c5f6974656d7320333135313137370d0a5354415420657870697265645f756e66657463686564203332303130310d0a5354415420657669637465645f756e6665746368656420300d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d6564203733363132360d0a5354415420637261776c65725f7265636c61696d656420300d0a454e440d0a
1527469206,192.157.196.122,11211,216.98.153.248,11211,15515,54,0001000000010000535441542070696420360d0a5354415420757074696d652031393834333235300d0a535441542074696d6520313532373436393230350d0a535441542076657273696f6e20312e342e32300d0a53544154206c69626576656e7420322e302e32312d737461626c650d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f757365722035373636342e3334383030300d0a53544154207275736167655f73797374656d203130313636322e3935363030300d0a5354415420637572725f636f6e6e656374696f6e732036360d0a5354415420746f74616c5f636f6e6e656374696f6e73203132373733363030350d0a5354415420636f6e6e656374696f6e5f73747275637475726573203939380d0a535441542072657365727665645f6664732032300d0a5354415420636d645f67657420323237333132303038370d0a5354415420636d645f7365742031363832340d0a5354415420636d645f666c75736820323839343735310d0a5354415420636d645f746f75636820300d0a53544154206765745f68697473203131373735363134380d0a53544154206765745f6d697373657320323135353336333933390d0a535441542064656c6574655f6d6973736573203538370d0a535441542064656c6574655f6869747320390d0a5354415420696e63725f6d697373657320300d0a5354415420696e63725f6869747320300d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420746f7563685f6869747320300d0a5354415420746f7563685f6d697373657320300d0a5354415420617574685f636d6473203132373130353339320d0a5354415420617574685f6572726f7273203132373130353339320d0a535441542062797465735f726561642033383438303832343936350d0a535441542062797465735f7772697474656e20383132343534313731373730320d0a53544154206c696d69745f6d617862797465732036373130383836340d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d20320d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c64732034323731363837370d0a5354415420686173685f706f7765725f6c6576656c2031360d0a5354415420686173685f6279746573203532343238380d0a5354415420686173685f69735f657870616e64696e6720300d0a53544154206d616c6c6f635f6661696c7320300d0a5354415420627974657320363137330d0a5354415420637572725f6974656d7320310d0a5354415420746f74616c5f6974656d732031363731310d0a5354415420657870697265645f756e666574636865642032390d0a5354415420657669637465645f756e6665746368656420300d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d65642033370d0a5354415420637261776c65725f7265636c61696d656420300d0a454e440d0a
1527469207,91.202.36.254,11211,216.98.153.252,11211,44824,41,0001000000010000535441542070696420313930350d0a5354415420757074696d6520363531373038380d0a535441542074696d6520313532373436393230360d0a535441542076657273696f6e20312e342e350d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f7573657220323438302e3532303030300d0a53544154207275736167655f73797374656d20353032392e3836303030300d0a5354415420637572725f636f6e6e656374696f6e732033300d0a5354415420746f74616c5f636f6e6e656374696f6e73203234333831330d0a5354415420636f6e6e656374696f6e5f737472756374757265732033320d0a5354415420636d645f6765742039333536323336340d0a5354415420636d645f73657420393439353939320d0a5354415420636d645f666c7573682035350d0a53544154206765745f686974732036333934303833300d0a53544154206765745f6d69737365732032393632313533340d0a535441542064656c6574655f6d69737365732035370d0a535441542064656c6574655f6869747320300d0a5354415420696e63725f6d69737365732037330d0a5354415420696e63725f686974732033383530313037330d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420617574685f636d647320300d0a5354415420617574685f6572726f727320300d0a535441542062797465735f726561642032373136333139333031370d0a535441542062797465735f7772697474656e2035343637313832313736310d0a53544154206c696d69745f6d61786279746573203533363837303931320d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d20300d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c6473203333300d0a53544154206279746573203133373032363334390d0a5354415420637572725f6974656d732034343238350d0a5354415420746f74616c5f6974656d7320393439363230370d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d656420373731303233310d0a454e440d0a
1527469207,196.202.194.40,11211,216.98.153.232,11211,54321,212,000100000001000073746174730a0d
1527469207,118.190.207.223,11211,216.98.153.239,11211,0,44,
1527469207,185.42.221.22,11211,216.98.153.239,11211,6517,58,0001000000010000535441542070696420360d0a5354415420757074696d652031353136333234310d0a535441542074696d6520313532373436383930340d0a535441542076657273696f6e20312e342e32300d0a53544154206c69626576656e7420322e302e32312d737461626c650d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f75736572203331363337312e3031373837310d0a53544154207275736167655f73797374656d2038323331322e3539363732310d0a5354415420637572725f636f6e6e656374696f6e732031390d0a5354415420746f74616c5f636f6e6e656374696f6e73203434353439390d0a5354415420636f6e6e656374696f6e5f73747275637475726573203533330d0a535441542072657365727665645f6664732032300d0a5354415420636d645f67657420333632323534393237330d0a5354415420636d645f73657420363935373434300d0a5354415420636d645f666c75736820313431310d0a5354415420636d645f746f75636820300d0a53544154206765745f68697473203133353532343735360d0a53544154206765745f6d697373657320333438373032343531370d0a535441542064656c6574655f6d6973736573203732390d0a535441542064656c6574655f6869747320300d0a5354415420696e63725f6d697373657320300d0a5354415420696e63725f6869747320300d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420746f7563685f6869747320300d0a5354415420746f7563685f6d697373657320300d0a5354415420617574685f636d6473203131303733370d0a5354415420617574685f6572726f727320300d0a535441542062797465735f726561642037313139333633353932370d0a535441542062797465735f7772697474656e2031303937373037373236373136350d0a53544154206c696d69745f6d617862797465732036373130383836340d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d20300d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c6473203135343731383639360d0a5354415420686173685f706f7765725f6c6576656c2031360d0a5354415420686173685f6279746573203532343238380d0a5354415420686173685f69735f657870616e64696e6720300d0a53544154206d616c6c6f635f6661696c7320300d0a5354415420627974657320313637363938370d0a5354415420637572725f6974656d7320323932380d0a5354415420746f74616c5f6974656d7320363839303936300d0a5354415420657870697265645f756e66657463686564203133393538350d0a5354415420657669637465645f756e6665746368656420300d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d6564203438383037390d0a5354415420637261776c65725f7265636c61696d656420300d0a454e440d0a
1527469207,185.175.138.135,11211,216.98.153.251,11211,19068,58,0001000000010000535441542070696420370d0a5354415420757074696d652033323631303430370d0a535441542074696d6520313532373436393230370d0a535441542076657273696f6e20312e342e32300d0a53544154206c69626576656e7420322e302e32312d737461626c650d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f75736572203136313633322e3039363030300d0a53544154207275736167655f73797374656d2036373635352e3539323030300d0a5354415420637572725f636f6e6e656374696f6e732031330d0a5354415420746f74616c5f636f6e6e656374696f6e73203833363630320d0a5354415420636f6e6e656374696f6e5f73747275637475726573203939380d0a535441542072657365727665645f6664732032300d0a5354415420636d645f67657420333739383634313537380d0a5354415420636d645f73657420353534393235370d0a5354415420636d645f666c75736820313339340d0a5354415420636d645f746f75636820300d0a53544154206765745f686974732032313432343734340d0a53544154206765745f6d697373657320333737373231363833340d0a535441542064656c6574655f6d6973736573203735330d0a535441542064656c6574655f6869747320300d0a5354415420696e63725f6d697373657320300d0a5354415420696e63725f6869747320300d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420746f7563685f6869747320300d0a5354415420746f7563685f6d697373657320300d0a5354415420617574685f636d6473203138313737390d0a5354415420617574685f6572726f7273203337360d0a535441542062797465735f726561642036373439303034313932340d0a535441542062797465735f7772697474656e20343539303034303237353830370d0a53544154206c696d69745f6d617862797465732036373130383836340d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d203339360d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c6473203135393137373138340d0a5354415420686173685f706f7765725f6c6576656c2031360d0a5354415420686173685f6279746573203532343238380d0a5354415420686173685f69735f657870616e64696e6720300d0a53544154206d616c6c6f635f6661696c7320300d0a5354415420627974657320313735343830360d0a5354415420637572725f6974656d7320313034360d0a5354415420746f74616c5f6974656d7320353436353036300d0a5354415420657870697265645f756e66657463686564203130313439390d0a5354415420657669637465645f756e6665746368656420300d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d6564203239333334380d0a5354415420637261776c65725f7265636c61696d656420300d0a454e440d0a
1527469208,23.89.184.234,11211,216.98.153.249,11211,38430,54,000100000001000053544154207069642031300d0a5354415420757074696d6520373139323235300d0a535441542074696d6520313532373436393230380d0a535441542076657273696f6e20312e342e32300d0a53544154206c69626576656e7420322e302e32312d737461626c650d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f757365722034373933382e3333323030300d0a53544154207275736167655f73797374656d2034373031362e3030383030300d0a5354415420637572725f636f6e6e656374696f6e732033340d0a5354415420746f74616c5f636f6e6e656374696f6e732035313737373837340d0a5354415420636f6e6e656374696f6e5f73747275637475726573203532350d0a535441542072657365727665645f6664732032300d0a5354415420636d645f67657420323738313037313333300d0a5354415420636d645f7365742032353031350d0a5354415420636d645f666c7573682032313631353933340d0a5354415420636d645f746f75636820300d0a53544154206765745f68697473203136313133353136350d0a53544154206765745f6d697373657320323631393933363136350d0a535441542064656c6574655f6d6973736573203331340d0a535441542064656c6574655f686974732031330d0a5354415420696e63725f6d697373657320300d0a5354415420696e63725f6869747320300d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420746f7563685f6869747320300d0a5354415420746f7563685f6d697373657320300d0a5354415420617574685f636d64732035313630353733350d0a5354415420617574685f6572726f72732035313630353733350d0a535441542062797465735f726561642033373731393435303538360d0a535441542062797465735f7772697474656e2031323139313435343732323836320d0a53544154206c696d69745f6d617862797465732036373130383836340d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d20300d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c64732036373434303230350d0a5354415420686173685f706f7765725f6c6576656c2031360d0a5354415420686173685f6279746573203532343238380d0a5354415420686173685f69735f657870616e64696e6720300d0a53544154206d616c6c6f635f6661696c7320300d0a5354415420627974657320300d0a5354415420637572725f6974656d7320300d0a5354415420746f74616c5f6974656d732032343930340d0a5354415420657870697265645f756e666574636865642033330d0a5354415420657669637465645f756e6665746368656420300d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d65642034330d0a5354415420637261776c65725f7265636c61696d656420300d0a454e440d0a
1527469208,198.56.241.34,11211,216.98.153.250,11211,26184,54,0001000000010000535441542070696420370d0a5354415420757074696d6520323738373639340d0a535441542074696d6520313532373436393230370d0a535441542076657273696f6e20312e342e32300d0a53544154206c69626576656e7420322e302e32312d737461626c650d0a5354415420706f696e7465725f73697a652036340d0a53544154207275736167655f757365722031373033392e3530343030300d0a53544154207275736167655f73797374656d2037323837352e3334383030300d0a5354415420637572725f636f6e6e656374696f6e732032300d0a5354415420746f74616c5f636f6e6e656374696f6e732031303335373439330d0a5354415420636f6e6e656374696f6e5f73747275637475726573203237330d0a535441542072657365727665645f6664732032300d0a5354415420636d645f67657420323133383130383333340d0a5354415420636d645f736574203133370d0a5354415420636d645f666c757368203438353530380d0a5354415420636d645f746f75636820300d0a53544154206765745f68697473203133393033323231360d0a53544154206765745f6d697373657320313939393037363131380d0a535441542064656c6574655f6d6973736573203130360d0a535441542064656c6574655f6869747320300d0a5354415420696e63725f6d697373657320300d0a5354415420696e63725f6869747320300d0a5354415420646563725f6d697373657320300d0a5354415420646563725f6869747320300d0a53544154206361735f6d697373657320300d0a53544154206361735f6869747320300d0a53544154206361735f62616476616c20300d0a5354415420746f7563685f6869747320300d0a5354415420746f7563685f6d697373657320300d0a5354415420617574685f636d64732031303239313139300d0a5354415420617574685f6572726f72732031303239313139300d0a535441542062797465735f726561642032373630323830383030300d0a535441542062797465735f7772697474656e20393234303935363730303731320d0a53544154206c696d69745f6d617862797465732036373130383836340d0a5354415420616363657074696e675f636f6e6e7320310d0a53544154206c697374656e5f64697361626c65645f6e756d20300d0a53544154207468726561647320340d0a5354415420636f6e6e5f7969656c64732036393330393636340d0a5354415420686173685f706f7765725f6c6576656c2031360d0a5354415420686173685f6279746573203532343238380d0a5354415420686173685f69735f657870616e64696e6720300d0a53544154206d616c6c6f635f6661696c7320300d0a5354415420627974657320363137330d0a5354415420637572725f6974656d7320310d0a5354415420746f74616c5f6974656d73203133370d0a5354415420657870697265645f756e666574636865642031340d0a5354415420657669637465645f756e6665746368656420300d0a53544154206576696374696f6e7320300d0a53544154207265636c61696d65642032300d0a5354415420637261776c65725f7265636c61696d656420300d0a454e440d0a
